trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.85, 'e': 0.9962178864711978}",30,0,-184.7828625533559,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
88,False,"{'a': 0.85, 'e': 0.9961304980857502}",25,13,-14.618899161077636,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.85, 'e': 0.9960421135698875}",30,0,-247.3528278332439,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",0
90,False,"{'a': 0.85, 'e': 0.9959527330119943}",20,0,-98.04252098722384,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
91,False,"{'a': 0.85, 'e': 0.9958623565014509}",25,0,-99.6447455635488,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
92,False,"{'a': 0.85, 'e': 0.9957709841286342}",20,0,-72.45340081851725,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.85, 'e': 0.9956786159849162}",20,0,-95.96658914122273,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.85, 'e': 0.9955852521626654}",30,0,-186.02708426501,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
95,False,"{'a': 0.85, 'e': 0.9954908927552453}",20,0,-83.51069206488228,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
96,False,"{'a': 0.85, 'e': 0.9953955378570153}",25,0,-108.78549835498978,"{0: 11, 1: 4, 2: 10, 3: 0, 4: 0}",0
97,False,"{'a': 0.85, 'e': 0.9952991875633305}",25,0,-92.37228188694573,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
98,False,"{'a': 0.85, 'e': 0.995201841970541}",35,0,-234.51241257936675,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
99,False,"{'a': 0.85, 'e': 0.9951035011759926}",25,0,-81.47881505689485,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
100,False,"{'a': 0.85, 'e': 0.9950041652780257}",35,0,-140.08726005569952,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
101,False,"{'a': 0.85, 'e': 0.9949038343759766}",20,0,-138.37765578113158,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
102,False,"{'a': 0.85, 'e': 0.994802508570176}",25,0,-221.73476533654753,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
103,False,"{'a': 0.85, 'e': 0.9947001879619498}",20,0,-188.715197275548,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
